merges,vocab_size,K,beta,R2,util_now,compression_ratio,chars_per_token,tokens_per_1k_chars,N_star,V_end,V_hat_star,util_star,train_K,train_beta,train_R2,train_util_now,train_compression_ratio,train_chars_per_token,train_tokens_per_1k_chars,train_N_star,train_V_end,train_V_hat_star,train_util_star
300,560,136.28871944830348,0.09194360185749542,0.6517745923174826,0.6321428571428571,0.0004734727915113487,1.9065930136937324,524.4957853184686,279690,354,431.7645750087662,0.771008169658511,293.9846299838147,0.016098068644151958,0.7770791974814346,0.6517857142857143,5.896118911813685e-05,1.9135833503083677,522.5797976549353,2307310,365,372.1845506992241,0.6646152691057573
400,660,120.81885034543222,0.12737845268828663,0.7056940287002906,0.6803030303030303,0.0006161274088786632,2.0145256039742354,496.39478298375076,264705,449,592.7584451394862,0.8981188562719488,327.26270312852307,0.02681294495989342,0.8219512125334415,0.703030303030303,7.689954549738311e-05,2.021792089091592,494.6106997823443,2183820,464,484.0269970028563,0.7333742378831156
500,760,105.70375971078731,0.1591140422178066,0.7639186319078655,0.7118421052631579,0.0007585037710773696,2.0887796470749525,478.74844117729793,255295,541,760.0,1.0,354.0305892992509,0.0355040562644375,0.7796285816126631,0.7368421052631579,9.48265849943217e-05,2.0962317271764777,477.04649587903685,2106270,560,593.6783155092724,0.7811556783016741
600,860,92.81048571406748,0.18651919622963958,0.8077609020472428,0.7348837209302326,0.0009026019858200665,2.1532606501110436,464.4119605066994,247650,632,860.0,1.0,369.64127346232186,0.044665901555692715,0.802669868968154,0.7616279069767442,0.00011298014055328615,2.1596280644088357,463.04269539752175,2044440,655,707.3721404645395,0.8225257447262087
700,960,81.3034160868581,0.21294895082594625,0.8270440466697837,0.7489583333333333,0.0010435694370895673,2.213273289476415,451.8194859870044,240935,719,960.0,1.0,379.67928830806795,0.053690491675124644,0.790452577622786,0.7822916666666667,0.00013164792019084362,2.2192103742052223,450.6107269609963,1989550,751,827.1802415159684,0.8616460849124671
800,1060,72.77157718299038,0.234426539111248,0.8506769231733338,0.7575471698113208,0.0011823067155384151,2.260369200771464,442.4056033229881,235915,803,1060.0,1.0,385.36491095548877,0.06166776637693062,0.7814906917215609,0.7952830188679245,0.00014990764791674964,2.2681752799753414,440.88303440590863,1946600,843,941.277798347486,0.8879979229693264
900,1160,62.96995809132172,0.2588329806075913,0.8653342694368723,0.7629310344827587,0.0013199037551018067,2.3085631412615264,433.1698718249243,230990,885,1160.0,1.0,388.45604503957185,0.07010545180666294,0.7884356364284105,0.8094827586206896,0.0001691399470469974,2.314183133287908,432.1179191118016,1907900,939,1070.6390329943902,0.9229646836158536
1000,1260,54.80166180393826,0.28147486943475375,0.88513127210346,0.7682539682539683,0.0014606100390817487,2.3496585150914298,425.5937590833654,226950,968,1260.0,1.0,389.3727535436362,0.07775066133075861,0.7988697700719807,0.8198412698412698,0.00018825254224783555,2.3562156291942054,424.40937391710054,1873865,1033,1196.9475207815312,0.9499583498266121
1100,1360,50.72202640855138,0.2960999222593748,0.9003412682173433,0.7661764705882353,0.0015890886740770548,2.3833158282866655,419.58350132675736,223745,1042,1360.0,1.0,373.95781317610147,0.08769151271469389,0.8136607373383669,0.8272058823529411,0.00020721182707276353,2.3930656202405407,417.87404053695957,1845010,1125,1325.2491009306211,0.9744478683313391
1200,1460,45.47481597367276,0.31463195330083704,0.911207752352587,0.7712328767123288,0.001734077957564578,2.417896574395248,413.58261994730475,220545,1126,1460.0,1.0,381.58431150285537,0.092944934305415,0.796090271782447,0.834931506849315,0.0002267334191279113,2.4300295275861403,411.51763328297733,1816945,1219,1456.6815561396245,0.9977270932463181
1300,1560,43.11013306927087,0.3259924718746757,0.9147133882454409,0.767948717948718,0.0018617356078283421,2.4487635754138637,408.3693542489053,217765,1198,1560.0,1.0,375.3831777722374,0.09972310819516861,0.8015541181401046,0.8365384615384616,0.0002449363846037473,2.4602041612338827,406.47033110392886,1794660,1305,1560.0,1.0
1400,1660,38.222283758487244,0.3436857094961188,0.9287114709071743,0.769277108433735,0.002001274532558471,2.4760522833329466,403.86869321431584,215365,1277,1660.0,1.0,360.39139311338124,0.10889790352917986,0.8148994492010996,0.8439759036144578,0.0002651767911909147,2.4885891589964997,401.83410603751105,1774190,1401,1660.0,1.0
1500,1760,33.98142059339101,0.36118242204611717,0.9368255286603611,0.7698863636363636,0.0021402668534264086,2.5039560491160517,399.3680321797264,212965,1355,1760.0,1.0,354.49884044037185,0.11577134399407978,0.8140084232370143,0.8488636363636364,0.00028501048168792033,2.5150625315078483,397.60442830837803,1755515,1494,1760.0,1.0
1600,1860,30.64992499375779,0.3763336201730447,0.9417162763584725,0.7688172043010753,0.0022754349284660677,2.528832930241381,395.43933015161605,210870,1430,1860.0,1.0,347.2369741387145,0.12241319289479594,0.813275526607492,0.8516129032258064,0.0003044143803645405,2.5393419334801837,393.8028143494223,1738730,1584,1860.0,1.0
1700,1960,28.47113234254072,0.3886931118459832,0.945477423374089,0.7678571428571429,0.0024114342719182883,2.553047350026332,391.6887792894581,208870,1505,1960.0,1.0,329.120415411738,0.13177950259031398,0.8211400628285138,0.8566326530612245,0.00032491609829048607,2.56368524346483,390.06348480147125,1722220,1679,1960.0,1.0
1800,2060,25.811680261770693,0.40264437509700846,0.951460228307575,0.7674757281553398,0.0025498362725580375,2.5731277745608954,388.6320803367995,207240,1581,2060.0,1.0,317.8178886259791,0.1393453242090773,0.8296487779274875,0.8606796116504855,0.0003453589894193497,2.585369852585967,386.7918545579732,1707775,1773,2060.0,1.0
1900,2160,23.532482774345826,0.4154256438905944,0.954923027046451,0.7611111111111111,0.0026679140434617893,2.589559305572417,386.1660931449307,205925,1644,2160.0,1.0,305.90394142760414,0.14657729920335535,0.8359696453776069,0.8638888888888889,0.00036573225488990753,2.605631766396478,383.7840837283675,1694495,1866,2160.0,1.0
2000,2260,21.70178026466027,0.4277664131532403,0.9594407117278793,0.761504424778761,0.00280933345761199,2.6079227289399682,383.4469437698662,204475,1721,2260.0,1.0,294.95673643039254,0.153957750623296,0.8405666695706869,0.868141592920354,0.0003868147519783016,2.626784067584853,380.6936444987011,1680850,1962,2260.0,1.0
2500,2760,15.168897291733192,0.47965678084023017,0.9741840527753745,0.7485507246376811,0.0034597828096637907,2.689878685464955,371.76397783424443,198245,2066,2760.0,1.0,249.2283260416251,0.1854262620403859,0.8512681172206376,0.875,0.0004884467887338304,2.707899417356639,369.2899350656704,1630500,2415,2760.0,1.0
4500,4760,6.900318778081448,0.5883763444254996,0.9929899642971298,0.625,0.005324730154916948,2.8836284980397457,346.78530909227294,184925,2975,4760.0,1.0,103.92052749588991,0.3052778033929911,0.920139240479683,0.8884453781512605,0.0009141762262793351,2.917443619952557,342.76583552838696,1513390,4229,4760.0,1.0
6500,6760,4.858692539956528,0.6356470149596309,0.9962429471440551,0.5136094674556213,0.006471690922409991,2.982744154827162,335.26174156829285,178780,3472,6760.0,1.0,47.38649838910613,0.39889871814884637,0.9560788042108056,0.8855029585798817,0.0013475856205675601,3.0323028161517516,329.7823669435114,1456065,5986,6760.0,1.0
8500,8760,4.171890085599225,0.6572227106182926,0.9977177523895069,0.4292237442922374,0.007214484771133899,3.0665344029443053,326.10102108747225,173895,3760,8760.0,1.0,25.35007015476165,0.4691192062068981,0.9753122951476834,0.8690639269406393,0.0017642288112524932,3.1225106082036773,320.25511694747496,1414000,7613,8760.0,1.0
10500,10760,3.891652059007345,0.6669959409474069,0.9983695878120495,0.36486988847583646,0.007703638933285479,3.0995989304812834,322.6223851628208,172040,3926,10760.0,1.0,14.912476690923384,0.5265671077610473,0.9864273189929437,0.8544609665427509,0.002178872049589928,3.1642455297953918,316.03110143752417,1395350,9194,10760.0,1.0
12500,11182,3.8726634222424052,0.6674492456990412,0.9983247009496207,0.35065283491325344,0.007725709932217046,3.103838654288292,322.18169543651726,171805,3921,11182.0,1.0,13.83873314628651,0.533865874505867,0.9880464032030546,0.8402790198533358,0.0022359710089422816,3.1730345637933572,315.1557223519499,1391485,9396,11182.0,1.0
14500,11182,3.8726634222424052,0.6674492456990412,0.9983247009496207,0.35065283491325344,0.007725709932217046,3.103838654288292,322.18169543651726,171805,3921,11182.0,1.0,13.83873314628651,0.533865874505867,0.9880464032030546,0.8402790198533358,0.0022359710089422816,3.1730345637933572,315.1557223519499,1391485,9396,11182.0,1.0
